ID,Discourse,Genre,Interactivity,Social_context,Event_structure,Channel,Planning_type,Subject,B_B,B_I,B_L,B_U,I_B,I_L,I_U,L_B,L_I,L_L,L_U,U_B,U_I,U_L,U_U,LI_UI_LB_UB,IL_IU_BL_BU,deY_Z,LL_UL_LU_UU,Total
M0010,Discourse,Procedural,non-interactive,Private,Dialogue,Face to Face,spontaneous,travel-planning,8,2,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,2,8,10
M0011,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,9,5,0,1,4,2,0,0,4,10,0,0,0,0,0,4,3,7,10,17
M0012,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,5,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,5,6
M0013,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,7,7,0,0,2,3,0,0,6,6,0,0,0,0,0,6,3,9,6,15
M0014,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7
M0015,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,7,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,1,1,7,8
M0016,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,10,12,0,0,3,2,0,0,10,11,0,0,0,0,0,10,2,12,11,23
M0018,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,13,4,0,0,7,7,0,0,4,13,0,0,0,0,0,4,7,11,13,24
M0019,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,6,11,0,0,2,4,0,2,6,6,0,0,0,0,0,8,4,12,6,18
M0021,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,10,1,0,0,5,5,0,0,1,10,0,0,0,0,0,1,5,6,10,16
M0022,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,5,11,0,0,5,9,1,4,5,4,0,0,1,1,0,10,10,20,5,25
M0023,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,16,10,0,0,4,4,0,0,7,16,0,0,0,0,0,7,4,11,16,27
M0024,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,4,1,0,0,2,3,0,1,0,4,0,0,0,0,0,1,3,4,4,8
M1001,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,life story,13,21,0,0,2,2,0,0,18,13,0,0,0,0,0,18,2,20,13,33
M1003,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,professional project description,35,14,0,0,24,25,1,1,12,35,0,0,0,0,0,13,26,39,35,74
M2001,Discourse,Oratory,non-interactive,Public,Monologue,Broadcasting,planned,political speech,23,1,0,1,57,55,0,0,0,25,0,0,0,0,0,0,56,56,25,81
M2002,Discourse,Description,non-interactive,Public,Monologue,Broadcasting,planned,Talk,44,28,0,0,33,36,0,2,20,43,0,1,1,1,0,24,36,60,44,104
M2003,Discourse,Oratory,non-interactive,Public,Monologue,Broadcasting,planned,sermon,48,6,0,1,62,57,1,0,1,53,0,0,0,0,1,1,59,60,54,114
M2004,Discourse,Oratory,non-interactive,Public,Monologue,Broadcasting,planned,political speech,52,1,0,3,169,168,5,0,1,53,2,0,0,0,1,1,176,177,56,233
M2005,Discourse,Description,non-interactive,Public,Monologue,Broadcasting,planned,press review,15,3,0,0,10,10,0,0,3,15,0,0,0,0,0,3,10,13,15,28
M2006,Discourse,Description,non-interactive,Public,Monologue,Broadcasting,planned,info-kiosk,38,35,0,0,5,4,0,0,34,39,0,0,0,0,1,34,4,38,40,78
