"","king","value"
"1","1대 태조",0.00624254345654979
"2","2대 정종",0.0171074938451965
"3","3대 태종",0.00915429006068899
"4","4대 세종",0.0206966946427084
"5","5대 문종",0.00940883271754336
"6","6대 단종",0.0279246854802741
"7","7대 세조",0.0116904673524881
"8","8대 예종",0.0118472867498606
"9","9대 성종",0.0208249581111755
"10","10대 연산군",0.0383155127541883
"11","11대 중종",0.0254956139136009
"12","12대 인종",0
"13","13대 명종",0.0179706869738119
"14","14대 선조",0.0121248387875233
"15","15대 광해군",0.0163256786610266
"16","16대 인조",0.00337628274558511
"17","17대 효종",0.00552830623578057
"18","18대 현종",0.0119506221354947
"19","19대 숙종",0.011646064275056
"20","20대 경종",0
"21","21대 영조",0.00548946617316824
"22","22대 정조",0.0031031854481506
"23","23대 순조",0.00110196810632334
"24","24대 현종",0
"25","25대 철종",0
