"","king","value"
"1","1대 태조",0.0217136985463265
"2","2대 정종",0.0967581437321119
"3","3대 태종",0.0228760979715448
"4","4대 세종",0.0496575480393072
"5","5대 문종",0.0549220943119117
"6","6대 단종",0.046001599290505
"7","7대 세조",0.0472803554050095
"8","8대 예종",0.0500677372125876
"9","9대 성종",0.050622542230996
"10","10대 연산군",0.0309467411031348
"11","11대 중종",0.0302351390356293
"12","12대 인종",0
"13","13대 명종",0.0427277358623457
"14","14대 선조",0.0223891715896602
"15","15대 광해군",0.0161357910370207
"16","16대 인조",0.0105433628966393
"17","17대 효종",0.0144544870860188
"18","18대 현종",0.0176400055149298
"19","19대 숙종",0.0198666194610273
"20","20대 경종",0.0149101830671226
"21","21대 영조",0.0125738724825727
"22","22대 정조",0.0162782357014785
"23","23대 순조",0.0135233862688225
"24","24대 현종",0.00671459954560727
"25","25대 철종",0.00262344714380684
