"","king","value"
"1","1대 태조",0.00588229013970557
"2","2대 정종",0
"3","3대 태종",0
"4","4대 세종",0.00329963296744402
"5","5대 문종",0
"6","6대 단종",0
"7","7대 세조",0.00355284976030442
"8","8대 예종",0.00441088584348669
"9","9대 성종",0.00392885318560253
"10","10대 연산군",0.00426328509799866
"11","11대 중종",0.00741818093235945
"12","12대 인종",0
"13","13대 명종",0.00961506055395455
"14","14대 선조",0.0259673050911241
"15","15대 광해군",0.0140000591529398
"16","16대 인조",0.0223641549717294
"17","17대 효종",0.0180616884669472
"18","18대 현종",0.0143156493742574
"19","19대 숙종",0.00889339382426747
"20","20대 경종",0.0218025080458158
"21","21대 영조",0.0125160969462705
"22","22대 정조",0.0177842354943237
"23","23대 순조",0.00740410577379496
"24","24대 현종",0.00190893154809424
"25","25대 철종",0.00262344714380684
