"","king","value"
"1","1대 태조",0.0112533726873156
"2","2대 정종",0
"3","3대 태종",0.00662296144855264
"4","4대 세종",0.00612912212959138
"5","5대 문종",0
"6","6대 단종",0
"7","7대 세조",0.0046695268285276
"8","8대 예종",0.00441088584348669
"9","9대 성종",0.00611163488010216
"10","10대 연산군",0.0053930954811325
"11","11대 중종",0.00572970130763668
"12","12대 인종",0
"13","13대 명종",0.00682689753205681
"14","14대 선조",0.0147610569026144
"15","15대 광해군",0.00155833611526624
"16","16대 인조",0.00702584217343216
"17","17대 효종",0.00145678912723484
"18","18대 현종",0.00553388160541307
"19","19대 숙종",0.00261006896923365
"20","20대 경종",0
"21","21대 영조",0.00262261882137642
"22","22대 정조",0.00189992321785709
"23","23대 순조",0.000577109382292349
"24","24대 현종",0.00381786309618848
"25","25대 철종",0.00393517071571025
