"","king","value"
"1","1대 태조",0
"2","2대 정종",0.00920353074969468
"3","3대 태종",0.0092721460279737
"4","4대 세종",0.0138669901909683
"5","5대 문종",0.00974313017269574
"6","6대 단종",0.00764273746699547
"7","7대 세조",0.0107024017026163
"8","8대 예종",0
"9","9대 성종",0.0133693430004876
"10","10대 연산군",0.00590459368362614
"11","11대 중종",0.00265623171089868
"12","12대 인종",0
"13","13대 명종",0.000593368859648079
"14","14대 선조",0.00642300639614878
"15","15대 광해군",0.00659665698790183
"16","16대 인조",0.00414081810208872
"17","17대 효종",0
"18","18대 현종",0.00272639789734626
"19","19대 숙종",0.00107928363659416
"20","20대 경종",0
"21","21대 영조",0.00139936874368742
"22","22대 정조",0.00354649765502925
"23","23대 순조",0
"24","24대 현종",0.00381786309618848
"25","25대 철종",0
