"","king","value"
"1","1대 태조",0
"2","2대 정종",0.00920353074969468
"3","3대 태종",0
"4","4대 세종",0.00248593568818572
"5","5대 문종",0.00269538822877691
"6","6대 단종",0
"7","7대 세조",0
"8","8대 예종",0
"9","9대 성종",0.00432956307620126
"10","10대 연산군",0.00466731792870227
"11","11대 중종",0.000478563502117638
"12","12대 인종",0
"13","13대 명종",0.00212981349686272
"14","14대 선조",0
"15","15대 광해군",0
"16","16대 인조",0.000560423667044255
"17","17대 효종",0.00145678912723484
"18","18대 현종",0
"19","19대 숙종",0.000388397741037548
"20","20대 경종",0
"21","21대 영조",0
"22","22대 정조",0
"23","23대 순조",0.00288554691146175
"24","24대 현종",0
"25","25대 철종",0
