"","king","value"
"1","1대 태조",0.00312127172827489
"2","2대 정종",0
"3","3대 태종",0.00360469657352667
"4","4대 세종",0.00430144901696563
"5","5대 문종",0.00269538822877691
"6","6대 단종",0
"7","7대 세조",0.0041621861994314
"8","8대 예종",0.00441088584348669
"9","9대 성종",0.00517322270842389
"10","10대 연산군",0.00426328509799866
"11","11대 중종",0.00371531236910455
"12","12대 인종",0
"13","13대 명종",0.00113282665585936
"14","14대 선조",0.00500051226168312
"15","15대 광해군",0.00313346042792789
"16","16대 인조",0.00426601553129063
"17","17대 효종",0.00515179941892707
"18","18대 현종",0.00173031733504966
"19","19대 숙종",0.00632489346423393
"20","20대 경종",0.00714899872802434
"21","21대 영조",0.0070079510623131
"22","22대 정조",0.00701757405808466
"23","23대 순조",0.00207228012404719
"24","24대 현종",0
"25","25대 철종",0
