"","king","value"
"1","1대 태조",0.0607755050696643
"2","2대 정종",0.0372146706661969
"3","3대 태종",0.031293449933185
"4","4대 세종",0.0537702745839469
"5","5대 문종",0.118235675921388
"6","6대 단종",0.0656571889819317
"7","7대 세조",0.176303891425781
"8","8대 예종",0.405706467762249
"9","9대 성종",0.30507603468751
"10","10대 연산군",0.174637382167304
"11","11대 중종",0.12922759876746
"12","12대 인종",0.0306836322926281
"13","13대 명종",0.0729663535228721
"14","14대 선조",0.0443548234495072
"15","15대 광해군",0.0390152400971234
"16","16대 인조",0.0316496222566338
"17","17대 효종",0.0613203303064498
"18","18대 현종",0.0148563197516284
"19","19대 숙종",0.0503092238877981
"20","20대 경종",0.0994134653445357
"21","21대 영조",0.055235815560164
"22","22대 정조",0.161042364772593
"23","23대 순조",0.158593067474688
"24","24대 현종",0.205735005518349
"25","25대 철종",0.184469477353922
