"","king","value"
"1","1대 태조",0.032554031397451
"2","2대 정종",0.0171074938451965
"3","3대 태종",0.0383142440659317
"4","4대 세종",0.0159010596331972
"5","5대 문종",0.0370243043500849
"6","6대 단종",0.0699174629584568
"7","7대 세조",0.059059547570337
"8","8대 예종",0.0716329637217979
"9","9대 성종",0.0202487574907151
"10","10대 연산군",0.0115055458370767
"11","11대 중종",0.0190915982443178
"12","12대 인종",0.0513545201414853
"13","13대 명종",0.00918834113320587
"14","14대 선조",0.0128138345361254
"15","15대 광해군",0.00970436533113938
"16","16대 인조",0.022431365187433
"17","17대 효종",0.0195392755322096
"18","18대 현종",0.00090879929911542
"19","19대 숙종",0.0113965737271564
"20","20대 경종",0.00263597299957014
"21","21대 영조",0.00479226194953463
"22","22대 정조",0.0030502897575631
"23","23대 순조",0.0129615576312579
"24","24대 현종",0.0111586151368689
"25","25대 철종",0.00733860067108117
