"","king","value"
"1","1대 태조",0.00624254345654979
"2","2대 정종",0.00920353074969468
"3","3대 태종",0.004325635888232
"4","4대 세종",0.00836392864409983
"5","5대 문종",0
"6","6대 단종",0
"7","7대 세조",0.00365609959896545
"8","8대 예종",0.00882177168697337
"9","9대 성종",0.0155239939612464
"10","10대 연산군",0.00138143048696687
"11","11대 중종",0.0256142027442194
"12","12대 인종",0
"13","13대 명종",0.00437830459048874
"14","14대 선조",0.00375149855979439
"15","15대 광해군",0.0032785747760789
"16","16대 인조",0
"17","17대 효종",0
"18","18대 현종",0.00173031733504966
"19","19대 숙종",0.00215856727318833
"20","20대 경종",0.00527194599914027
"21","21대 영조",0.0029057089939993
"22","22대 정조",0.00231176567380849
"23","23대 순조",0.00110196810632334
"24","24대 현종",0
"25","25대 철종",0
