"","king","value"
"1","1대 태조",0
"2","2대 정종",0.0171074938451965
"3","3대 태종",0.00360469657352667
"4","4대 세종",0.0196331365008598
"5","5대 문종",0.0369950065787063
"6","6대 단종",0.0568280694893446
"7","7대 세조",0.0407313106814041
"8","8대 예종",0.058863449565947
"9","9대 성종",0.0260548746786754
"10","10대 연산군",0.00822895147969225
"11","11대 중종",0.0122667843109034
"12","12대 인종",0.0690381726584132
"13","13대 명종",0.00312199525255616
"14","14대 선조",0.011818168341783
"15","15대 광해군",0.00529387782100818
"16","16대 인조",0.00590323078690016
"17","17대 효종",0.0132906714813774
"18","18대 현종",0
"19","19대 숙종",0.00482858670277613
"20","20대 경종",0.0049759860662146
"21","21대 영조",0.00145434038207346
"22","22대 정조",0.00231176567380849
"23","23대 순조",0.00519398444063115
"24","24대 현종",0
"25","25대 철종",0
