"","king","value"
"1","1대 태조",0.00624254345654979
"2","2대 정종",0
"3","3대 태종",0.00295431513683757
"4","4대 세종",0.00419232999636944
"5","5대 문종",0
"6","6대 단종",0
"7","7대 세조",0.00079536457836795
"8","8대 예종",0.00441088584348669
"9","9대 성종",0.00901884756675614
"10","10대 연산군",0.00443097387368044
"11","11대 중종",0.0024519061946757
"12","12대 인종",0
"13","13대 명종",0.00394701608299435
"14","14대 선조",0.00392311506814022
"15","15대 광해군",0.00358249677722128
"16","16대 인조",0.00206885078548643
"17","17대 효종",0
"18","18대 현종",0.00090879929911542
"19","19대 숙종",0.000776795482075096
"20","20대 경종",0
"21","21대 영조",0.000512599085765771
"22","22대 정조",0.000982521404350625
"23","23대 순조",0.00110196810632334
"24","24대 현종",0.00190893154809424
"25","25대 철종",0.00138206796956271
