king_kor,king_eng,city_ID_t,city_kor_t,city_eng_t,city_color_t,long_t,lat_t,city_ID_s,city_kor_s,city_eng_s,city_color_s,long_s,lat_s,count
혜종,Hyejong,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,8
혜종,Hyejong,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,4
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
혜종,Hyejong,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
혜종,Hyejong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
혜종,Hyejong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,2
혜종,Hyejong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
혜종,Hyejong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
혜종,Hyejong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
