measureType,king_kor,king_eng,city_ID,city_kor,city_eng,city_color,score,long,lat
frequency,경종,Gyeongjong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,경종,Gyeongjong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,경종,Gyeongjong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,경종,Gyeongjong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,경종,Gyeongjong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,경종,Gyeongjong,12,승주,Seungju,#F31746,4,127.400603,35.026826
frequency,경종,Gyeongjong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,경종,Gyeongjong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,경종,Gyeongjong,15,불명,unknown,#AAACB9,5,0,0
frequency,경종,Gyeongjong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,경종,Gyeongjong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,경종,Gyeongjong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,경종,Gyeongjong,19,청주,Cheongju,#9C17F3,4,127.509353,36.652229
frequency,경종,Gyeongjong,20,상주,Sangju,#AD17F3,2,128.166729,36.412928
frequency,경종,Gyeongjong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
frequency,경종,Gyeongjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,경종,Gyeongjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,경종,Gyeongjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,경종,Gyeongjong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,경종,Gyeongjong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,성종,Seongjong,0,개경,Gaegyeong,#17ADF3,12,126.619833,37.952269
frequency,성종,Seongjong,1,정주,Jeongju,#70C459,7,125.206375,39.68846
frequency,성종,Seongjong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,성종,Seongjong,3,충주,Chungju,#7117F3,4,127.898682,36.985383
frequency,성종,Seongjong,4,황주,Hwangju,#69DE82,8,125.77577,38.669308
frequency,성종,Seongjong,5,경주,Gyeongju,#F32817,13,129.220572,35.833987
frequency,성종,Seongjong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,성종,Seongjong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,성종,Seongjong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,성종,Seongjong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,성종,Seongjong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,성종,Seongjong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,성종,Seongjong,12,승주,Seungju,#F31746,4,127.400603,35.026826
frequency,성종,Seongjong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,성종,Seongjong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,성종,Seongjong,15,불명,unknown,#AAACB9,5,0,0
frequency,성종,Seongjong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,성종,Seongjong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,성종,Seongjong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,성종,Seongjong,19,청주,Cheongju,#9C17F3,4,127.509353,36.652229
frequency,성종,Seongjong,20,상주,Sangju,#AD17F3,2,128.166729,36.412928
frequency,성종,Seongjong,21,선산,Seonsan,#F35D17,2,128.301303,36.262579
frequency,성종,Seongjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,성종,Seongjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,성종,Seongjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,성종,Seongjong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,성종,Seongjong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,목종,Mokjong,0,개경,Gaegyeong,#17ADF3,14,126.619833,37.952269
frequency,목종,Mokjong,1,정주,Jeongju,#70C459,7,125.206375,39.68846
frequency,목종,Mokjong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,목종,Mokjong,3,충주,Chungju,#7117F3,5,127.898682,36.985383
frequency,목종,Mokjong,4,황주,Hwangju,#69DE82,8,125.77577,38.669308
frequency,목종,Mokjong,5,경주,Gyeongju,#F32817,14,129.220572,35.833987
frequency,목종,Mokjong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,목종,Mokjong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,목종,Mokjong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,목종,Mokjong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,목종,Mokjong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,목종,Mokjong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,목종,Mokjong,12,승주,Seungju,#F31746,4,127.400603,35.026826
