name,id,group,Sales,Attendance ,Screen,Nomal_Attendance,Happy,Surprise,Boring,Sad,Anger,Disgust,Fear
A Blood Pledge,423,horror,4205826795,652097,318,2050.619497,0.09,0.14,0.07,0.15,0.07,0.03,0.45
Bewitching Attraction,424,comedy,3926917300,606398,203,2987.182266,0.17,0.09,0.09,0.27,0.27,0.1,0.01
The Actresses,425,drama,3784176467,514052,271,1896.870849,0.36,0.19,0.12,0.13,0.08,0.09,0.02
Between Love And Hate,426,meloromance,3611915500,565885,203,2787.610837,0.14,0.38,0.05,0.3,0.07,0.04,0.02
Rules Of Dating,427,drama,9846423390,1524898,243,6275.300412,0.33,0.35,0.07,0.12,0.08,0.04,0.02
The Legend Of IpMan,428,action,733132023,110805,168,659.5535714,0.33,0.42,0.05,0.07,0.08,0.02,0.03
"PyatayaKazn, The Fifth Execution",429,action,44081500,5987,39,153.5128205,0.2,0.43,0.03,0.16,0.1,0.05,0.03
Rough Cut,430,action,8943849000,1307688,326,4011.312883,0.51,0.26,0.04,0.07,0.05,0.03,0.03
Yes Man,431,comedy,9346501843,1402609,244,5748.397541,0.61,0.2,0.06,0.1,0.03,0.01,0
No Mercy For The Rude,432,action,4886772800,782907,192,4077.640625,0.35,0.19,0.12,0.19,0.07,0.07,0.01
Five Senses Of Eros,433,drama,3107441952,443462,302,1468.417219,0.11,0.13,0.09,0.25,0.25,0.14,0.03
Princess Aurora,434,crime,5365343000,830538,185,4489.394595,0.15,0.17,0.05,0.22,0.13,0.16,0.12
Pride & Prejudice,435,meloromance,5528493400,884638,157,5634.636943,0.31,0.5,0.09,0.06,0.02,0,0.01
Ocean's Thirteen,436,crime,9119810300,1371214,271,5059.830258,0.51,0.12,0.16,0.1,0.05,0.01,0.05
Spellbound,437,horror,22010977000,3009356,469,6416.537313,0.31,0.19,0.03,0.09,0.01,0,0.37
Always,438,meloromance,7591008500,1027622,435,2362.349425,0.19,0.47,0.11,0.21,0.02,0.01,0.01
The Orphanage,439,drama,1127243500,175588,167,1051.42515,0.09,0.21,0.06,0.15,0.01,0.02,0.45
Orphan,440,horror,3732523602,488242,171,2855.216374,0.13,0.3,0.03,0.05,0.04,0.04,0.41
The Phantom Of The Opera,441,drama,9862589000,1549107,221,7009.533937,0.24,0.44,0.13,0.11,0.03,0.01,0.03
Old Miss Diary,442,comedy,4750247000,800083,179,4469.73743,0.59,0.21,0.04,0.12,0.02,0,0.01
